2024-10-10 11:32:19,249 - root - INFO - Plot button clicked
2024-10-10 11:32:19,293 - root - DEBUG - Selected axes - X: Messzeit[s], Y: ['Flow [L/min]', 'Leak [L/min]']
2024-10-10 11:32:19,295 - root - DEBUG - Smoothing params: {'apply': False, 'method': 'mean_line', 'window_length': 51, 'poly_order': 3, 'sigma': 2.0}
2024-10-10 11:32:19,296 - root - INFO - Plotting data: x=Messzeit[s], y=['Flow [L/min]', 'Leak [L/min]']
2024-10-10 11:32:19,298 - matplotlib.font_manager - DEBUG - findfont: Matching sans\-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0.
2024-10-10 11:32:19,299 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='H:\\Pycharm_project\\pythonProject\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-10-10 11:32:19,300 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='H:\\Pycharm_project\\pythonProject\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif-BoldItalic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2024-10-10 11:32:19,300 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='H:\\Pycharm_project\\pythonProject\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizOneSymReg.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-10-10 11:32:19,301 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='H:\\Pycharm_project\\pythonProject\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmb10.ttf', name='cmb10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-10-10 11:32:19,301 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='H:\\Pycharm_project\\pythonProject\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizFiveSymReg.ttf', name='STIXSizeFiveSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-10-10 11:32:19,302 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='H:\\Pycharm_project\\pythonProject\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizThreeSymReg.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-10-10 11:32:19,302 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='H:\\Pycharm_project\\pythonProject\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 0.05
2024-10-10 11:32:19,303 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='H:\\Pycharm_project\\pythonProject\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralBol.ttf', name='STIXGeneral', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-10-10 11:32:19,303 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='H:\\Pycharm_project\\pythonProject\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerifDisplay.ttf', name='DejaVu Serif Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-10-10 11:32:19,304 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='H:\\Pycharm_project\\pythonProject\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizThreeSymBol.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-10-10 11:32:19,304 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='H:\\Pycharm_project\\pythonProject\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmss10.ttf', name='cmss10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
